"","game_str","play_id","ball_landing_x","ball_landing_y","ball_landing_z","pos_catch","timestamp_hit_ground","timestamp_get_ball","timestamp_hit_into_play","hang_time","catch","player_start_x","player_start_y","distance_from_start","catch_prob"
"1","1900_01_TeamKJ_TeamB",7,153.639,213.9828,0.668745,9,120621,120621,117056,3565,1,131.7264,243.2703,36.5775845978107,0.974813017715138
"2","1900_01_TeamKJ_TeamB",14,-154.9665,216.4914,0.822426,7,370800,370800,367103,3697,1,-139.9539,267.5631,53.2324778650215,0.857148225799844
"3","1900_01_TeamKJ_TeamB",23,136.9962,218.8434,0.2765748,9,693953,693953,690751,3202,1,122.7123,243.7371,28.7006288938065,0.970808185189285
"4","1900_01_TeamKJ_TeamB",45,14.63376,270.852,0,8,1430825,1430825,1427062,3763,1,-14.241,288.2196,33.6954788483203,0.991317473800093
"5","1900_01_TeamKJ_TeamB",62,-16.74882,264.5763,0,8,2068880,2068880,2064820,4060,1,10.9932,292.0935,39.0744925689432,0.993374279920495
"6","1900_01_TeamKJ_TeamB",78,111.0087,289.629,5.78352,9,2674590,2674590,2671652,2938,1,116.5245,249.6834,40.3246203825901,0.726890923040053
"7","1900_01_TeamKJ_TeamB",100,-17.52648,281.6928,3.34185,8,3329279,3329279,3325153,4126,1,10.7184,302.5854,35.1322356387179,0.996938247941027
"8","1900_01_TeamKJ_TeamB",108,12.6897,269.3265,0,8,3589326,3589326,3585762,3564,1,-20.3664,288.2208,38.0749303308621,0.969054418866403
"9","1900_01_TeamKJ_TeamB",109,94.9002,267.8436,0,9,3623223,3623223,3619889,3334,1,137.9928,235.8462,53.6731383610088,0.61834711490385
"10","1900_01_TeamKJ_TeamB",111,-54.3636,388.155,0,8,3731743,3731743,3724515,7228,1,11.3319,285.4776,121.895640574263,0.987565547454888
"11","1900_01_TeamKJ_TeamB",121,-121.7628,194.4093,3.01701,7,4062059,4062059,4055953,6106,1,-107.6493,237.4053,45.2531424129861,0.999986106471472
