"","game_str","play_id","Batter_Time_HF","throw_time","count_1B","count_OB","runner_on_1B","runner_on_B","Hit","Out","diff","hit_pred"
"1","1900_01_TeamKJ_TeamB",42,4225,4060,0,0,0,0,0,1,165,0.19518467701384
"2","1900_01_TeamKJ_TeamB",55,4257,3993,0,0,0,0,0,1,264,0.044503355262287
"3","1900_01_TeamKJ_TeamB",66,4093,4060,0,0,0,0,0,1,33,0.686398078551927
"4","1900_01_TeamKJ_TeamB",70,3928,3631,0,138,0,1,0,1,297,0.0261688880356825
"5","1900_01_TeamKJ_TeamB",80,4390,4027,0,0,0,0,0,1,363,0.00886564270424207
"6","1900_01_TeamKJ_TeamB",86,4917,4026,0,0,0,0,0,1,891,1.34829730790803e-06
"7","1900_01_TeamKJ_TeamB",97,4720,4125,0,0,0,0,0,1,595,0.000187164899204742
"8","1900_01_TeamKJ_TeamB",239,4555,4093,0,0,0,0,0,1,462,0.00171492990871897
"9","1900_01_TeamKJ_TeamB",242,4753,4357,0,0,0,0,0,1,396,0.00513428759689841
"10","1900_01_TeamKJ_TeamB",253,4191,3597,0,0,0,0,0,1,594,0.000190309855707345
"11","1900_01_TeamKJ_TeamB",264,4423,3961,0,155,0,1,0,1,462,0.00171492990871897
"12","1900_02_TeamKJ_TeamB",276,4885,4192,0,0,0,0,0,1,693,3.65546110668532e-05
"13","1900_04_TeamKK_TeamB",15,4258,3961,0,0,0,0,0,1,297,0.0261688880356825
"14","1900_04_TeamKK_TeamB",70,4258,4093,0,0,0,0,0,1,165,0.19518467701384
"15","1900_04_TeamKK_TeamB",128,3961,3598,0,0,0,0,0,1,363,0.00886564270424207
"16","1900_04_TeamKK_TeamB",131,4720,4225,0,0,0,0,0,1,495,0.000990146838591676
"17","1900_05_TeamKK_TeamB",9,4885,3861,0,171,0,1,0,1,1024,1.46926484565303e-07
"18","1900_05_TeamKK_TeamB",61,4291,4489,0,0,0,0,1,0,-198,0.990371315561795
"19","1900_05_TeamKK_TeamB",129,4786,4390,0,0,0,0,1,0,396,0.00513428759689841
"20","1900_05_TeamKK_TeamB",210,4522,4555,0,0,0,0,1,0,-33,0.867993531048929
"21","1900_06_TeamKL_TeamB",6,4191,3828,0,0,0,0,0,1,363,0.00886564270424207
