"","game_str","play_id","Batter_Time_HF","throw_time"
"1","1900_01_TeamKJ_TeamB",24,3993,3894
"2","1900_01_TeamKJ_TeamB",26,4093,3432
"3","1900_01_TeamKJ_TeamB",37,NA,3829
"4","1900_01_TeamKJ_TeamB",42,4225,4060
"5","1900_01_TeamKJ_TeamB",48,4456,4225
"6","1900_01_TeamKJ_TeamB",50,NA,4192
"7","1900_01_TeamKJ_TeamB",55,4257,3993
"8","1900_01_TeamKJ_TeamB",57,NA,3861
"9","1900_01_TeamKJ_TeamB",65,4522,4027
"10","1900_01_TeamKJ_TeamB",66,4093,4060
"11","1900_01_TeamKJ_TeamB",70,3928,3631
"12","1900_01_TeamKJ_TeamB",80,4390,4027
"13","1900_01_TeamKJ_TeamB",86,4917,4026
"14","1900_01_TeamKJ_TeamB",93,NA,4126
"15","1900_01_TeamKJ_TeamB",97,4720,4125
"16","1900_01_TeamKJ_TeamB",124,NA,3664
"17","1900_01_TeamKJ_TeamB",161,NA,3796
"18","1900_01_TeamKJ_TeamB",183,NA,3696
"19","1900_01_TeamKJ_TeamB",214,4488,4125
"20","1900_01_TeamKJ_TeamB",239,4555,4093
"21","1900_01_TeamKJ_TeamB",240,5182,2871
"22","1900_01_TeamKJ_TeamB",242,4753,4357
"23","1900_01_TeamKJ_TeamB",251,5082,4059
"24","1900_01_TeamKJ_TeamB",253,4191,3597
"25","1900_01_TeamKJ_TeamB",264,4423,3961
"26","1900_02_TeamKJ_TeamB",71,3664,3598
"27","1900_02_TeamKJ_TeamB",88,NA,4357
"28","1900_02_TeamKJ_TeamB",90,NA,1221
"29","1900_02_TeamKJ_TeamB",101,4621,7756
"30","1900_02_TeamKJ_TeamB",141,4191,1815
"31","1900_02_TeamKJ_TeamB",179,4422,4653
"32","1900_02_TeamKJ_TeamB",211,4225,4026
"33","1900_02_TeamKJ_TeamB",276,4885,4192
"34","1900_02_TeamKJ_TeamB",282,4555,4093
"35","1900_03_TeamKJ_TeamB",22,NA,3829
"36","1900_03_TeamKJ_TeamB",29,NA,4918
"37","1900_03_TeamKJ_TeamB",40,NA,3532
"38","1900_03_TeamKJ_TeamB",74,NA,4522
"39","1900_03_TeamKJ_TeamB",92,NA,3928
"40","1900_03_TeamKJ_TeamB",111,NA,3861
"41","1900_03_TeamKJ_TeamB",123,3532,3499
"42","1900_03_TeamKJ_TeamB",137,NA,2178
"43","1900_03_TeamKJ_TeamB",138,NA,4060
"44","1900_03_TeamKJ_TeamB",142,NA,2872
"45","1900_03_TeamKJ_TeamB",145,NA,4060
"46","1900_03_TeamKJ_TeamB",147,NA,3532
"47","1900_03_TeamKJ_TeamB",165,NA,3400
"48","1900_04_TeamKK_TeamB",11,5149,957
"49","1900_04_TeamKK_TeamB",15,4258,3961
"50","1900_04_TeamKK_TeamB",58,3631,3664
"51","1900_04_TeamKK_TeamB",68,NA,4192
"52","1900_04_TeamKK_TeamB",70,4258,4093
"53","1900_04_TeamKK_TeamB",73,NA,2212
"54","1900_04_TeamKK_TeamB",128,3961,3598
"55","1900_04_TeamKK_TeamB",131,4720,4225
"56","1900_04_TeamKK_TeamB",147,NA,3795
"57","1900_04_TeamKK_TeamB",195,NA,3928
"58","1900_04_TeamKK_TeamB",206,NA,3927
"59","1900_04_TeamKK_TeamB",220,3960,3300
"60","1900_04_TeamKK_TeamB",221,NA,3795
"61","1900_04_TeamKK_TeamB",243,4522,1650
"62","1900_05_TeamKK_TeamB",9,4885,3861
"63","1900_05_TeamKK_TeamB",24,3696,3597
"64","1900_05_TeamKK_TeamB",44,NA,4554
"65","1900_05_TeamKK_TeamB",61,4291,4489
"66","1900_05_TeamKK_TeamB",94,9935,13862
"67","1900_05_TeamKK_TeamB",102,NA,3762
"68","1900_05_TeamKK_TeamB",117,NA,3961
"69","1900_05_TeamKK_TeamB",119,3729,3399
"70","1900_05_TeamKK_TeamB",127,NA,1386
"71","1900_05_TeamKK_TeamB",129,4786,4390
"72","1900_05_TeamKK_TeamB",160,NA,3894
"73","1900_05_TeamKK_TeamB",210,4522,4555
"74","1900_06_TeamKL_TeamB",6,4191,3828
"75","1900_06_TeamKL_TeamB",59,4488,4060
"76","1900_06_TeamKL_TeamB",60,4720,3994
"77","1900_06_TeamKL_TeamB",70,NA,1188
"78","1900_06_TeamKL_TeamB",72,NA,3201
"79","1900_06_TeamKL_TeamB",79,4224,4026
"80","1900_06_TeamKL_TeamB",111,NA,4192
"81","1900_06_TeamKL_TeamB",114,3763,2344
"82","1900_06_TeamKL_TeamB",118,NA,4159
"83","1900_06_TeamKL_TeamB",126,4026,2607
"84","1900_06_TeamKL_TeamB",135,4555,4126
"85","1900_06_TeamKL_TeamB",144,NA,4158
"86","1900_06_TeamKL_TeamB",146,4488,4125
"87","1900_06_TeamKL_TeamB",150,NA,4258
"88","1900_06_TeamKL_TeamB",152,4819,4027
"89","1900_06_TeamKL_TeamB",158,NA,4027
"90","1900_06_TeamKL_TeamB",164,4060,3928
"91","1900_06_TeamKL_TeamB",166,4851,6139
"92","1900_06_TeamKL_TeamB",172,NA,4093
"93","1900_06_TeamKL_TeamB",179,NA,3961
"94","1900_07_TeamKL_TeamB",8,4555,4060
"95","1900_07_TeamKL_TeamB",11,4191,3828
"96","1900_07_TeamKL_TeamB",15,NA,3960
"97","1900_07_TeamKL_TeamB",21,4719,4125
"98","1900_07_TeamKL_TeamB",83,4059,4654
"99","1900_07_TeamKL_TeamB",90,4588,10661
"100","1900_07_TeamKL_TeamB",99,4587,4191
"101","1900_07_TeamKL_TeamB",101,5116,3994
"102","1900_07_TeamKL_TeamB",127,4786,4357
"103","1900_07_TeamKL_TeamB",131,4620,4356
"104","1900_07_TeamKL_TeamB",134,4059,3927
"105","1900_07_TeamKL_TeamB",136,4818,1518
"106","1900_07_TeamKL_TeamB",154,4686,4158
"107","1900_07_TeamKL_TeamB",156,4818,3894
"108","1900_07_TeamKL_TeamB",158,NA,5314
"109","1900_07_TeamKL_TeamB",164,NA,4192
"110","1900_07_TeamKL_TeamB",179,NA,1221
"111","1900_07_TeamKL_TeamB",184,4389,3201
"112","1900_07_TeamKL_TeamB",185,4323,4059
"113","1900_07_TeamKL_TeamB",187,4752,4555
"114","1900_08_TeamKL_TeamB",2,NA,1386
"115","1900_08_TeamKL_TeamB",4,4225,4026
"116","1900_08_TeamKL_TeamB",14,NA,3961
"117","1900_08_TeamKL_TeamB",24,NA,3333
"118","1900_08_TeamKL_TeamB",52,4125,3927
"119","1900_08_TeamKL_TeamB",58,NA,3895
"120","1900_08_TeamKL_TeamB",82,NA,4092
"121","1900_08_TeamKL_TeamB",115,4390,4126
"122","1900_08_TeamKL_TeamB",130,NA,4389
"123","1900_08_TeamKL_TeamB",134,4588,4192
"124","1900_08_TeamKL_TeamB",174,NA,4126
"125","1900_08_TeamKL_TeamB",179,NA,3862
"126","1900_08_TeamKL_TeamB",180,4126,1650
"127","1900_08_TeamKL_TeamB",186,3993,3960
"128","1900_08_TeamKL_TeamB",207,NA,4158
"129","1900_08_TeamKL_TeamB",220,NA,4390
"130","1900_08_TeamKL_TeamB",228,NA,4224
"131","1900_08_TeamKL_TeamB",242,NA,3960
"132","1900_08_TeamKL_TeamB",257,NA,4191
"133","1900_09_TeamKK_TeamB",11,NA,4258
"134","1900_09_TeamKK_TeamB",18,3697,3532
"135","1900_09_TeamKK_TeamB",23,NA,4356
"136","1900_09_TeamKK_TeamB",35,NA,4060
"137","1900_09_TeamKK_TeamB",58,4918,4291
"138","1900_09_TeamKK_TeamB",91,4126,3829
"139","1900_09_TeamKK_TeamB",137,6370,1122
"140","1900_09_TeamKK_TeamB",155,4423,4225
"141","1900_09_TeamKK_TeamB",160,NA,4059
"142","1900_09_TeamKK_TeamB",170,4357,4192
"143","1900_09_TeamKK_TeamB",171,NA,4555
"144","1900_09_TeamKK_TeamB",195,NA,2245
"145","1900_09_TeamKK_TeamB",197,NA,4060
"146","1900_09_TeamKK_TeamB",208,NA,1849
"147","1900_09_TeamKK_TeamB",213,NA,1320
"148","1900_09_TeamKK_TeamB",221,4852,10496
"149","1900_09_TeamKK_TeamB",228,NA,4092
"150","1900_09_TeamKK_TeamB",242,NA,4225
"151","1901_01_TeamLG_TeamA3",21,NA,3950
"152","1901_01_TeamLG_TeamA3",26,NA,4150
"153","1901_01_TeamLG_TeamA3",28,4500,4100
"154","1901_01_TeamLG_TeamA3",41,4500,4100
"155","1901_01_TeamLG_TeamA3",43,NA,4150
"156","1901_01_TeamLG_TeamA3",64,NA,NA
"157","1901_01_TeamLG_TeamA3",66,NA,NA
"158","1901_01_TeamLG_TeamA3",70,NA,NA
"159","1901_01_TeamLG_TeamA3",72,NA,3850
"160","1901_01_TeamLG_TeamA3",95,4400,3950
"161","1901_01_TeamLG_TeamA3",103,NA,3800
"162","1901_01_TeamLG_TeamA3",108,NA,900
"163","1901_01_TeamLG_TeamA3",114,NA,5050
"164","1901_01_TeamLG_TeamA3",119,NA,4150
"165","1901_01_TeamLG_TeamA3",155,4750,4850
"166","1901_01_TeamLG_TeamA3",156,NA,NA
"167","1901_01_TeamLG_TeamA3",159,NA,NA
"168","1901_01_TeamLG_TeamA3",167,NA,650
"169","1901_01_TeamLG_TeamA3",168,NA,5450
"170","1901_01_TeamLG_TeamA3",176,NA,3900
"171","1901_01_TeamLG_TeamA3",223,NA,4050
"172","1901_01_TeamLG_TeamA3",235,5150,4350
"173","1901_01_TeamLG_TeamA3",241,NA,3950
"174","1901_02_TeamLG_TeamA3",29,NA,2450
"175","1901_02_TeamLG_TeamA3",33,5100,3950
"176","1901_02_TeamLG_TeamA3",59,4550,4400
"177","1901_02_TeamLG_TeamA3",69,NA,3250
"178","1901_02_TeamLG_TeamA3",85,NA,3850
"179","1901_02_TeamLG_TeamA3",94,NA,2250
"180","1901_02_TeamLG_TeamA3",98,NA,NA
"181","1901_02_TeamLG_TeamA3",112,4450,4550
"182","1901_02_TeamLG_TeamA3",114,NA,NA
"183","1901_02_TeamLG_TeamA3",125,NA,4000
"184","1901_02_TeamLG_TeamA3",131,NA,NA
"185","1901_02_TeamLG_TeamA3",133,NA,NA
"186","1901_02_TeamLG_TeamA3",146,NA,NA
"187","1901_02_TeamLG_TeamA3",150,4450,4200
"188","1901_02_TeamLG_TeamA3",171,NA,NA
"189","1901_02_TeamLG_TeamA3",188,NA,3750
"190","1901_02_TeamLG_TeamA3",208,NA,NA
"191","1901_02_TeamLG_TeamA3",229,NA,3800
"192","1901_02_TeamLG_TeamA3",232,NA,1000
"193","1901_02_TeamLG_TeamA3",236,4650,4250
"194","1901_02_TeamLG_TeamA3",269,NA,NA
"195","1901_02_TeamLG_TeamA3",296,4550,4050
"196","1901_03_TeamLG_TeamA3",3,NA,NA
"197","1901_03_TeamLG_TeamA3",8,NA,NA
"198","1901_03_TeamLG_TeamA3",11,NA,NA
"199","1901_03_TeamLG_TeamA3",15,NA,1000
"200","1901_03_TeamLG_TeamA3",21,4750,3650
"201","1901_03_TeamLG_TeamA3",53,NA,NA
"202","1901_03_TeamLG_TeamA3",56,4350,4450
"203","1901_03_TeamLG_TeamA3",57,NA,NA
"204","1901_03_TeamLG_TeamA3",59,NA,4150
"205","1901_03_TeamLG_TeamA3",62,NA,4150
"206","1901_03_TeamLG_TeamA3",88,NA,4300
"207","1901_03_TeamLG_TeamA3",90,NA,4200
"208","1901_03_TeamLG_TeamA3",96,4400,3850
"209","1901_03_TeamLG_TeamA3",115,4200,2050
"210","1901_03_TeamLG_TeamA3",122,NA,4300
"211","1901_03_TeamLG_TeamA3",144,4950,4150
"212","1901_03_TeamLG_TeamA3",147,NA,4400
"213","1901_03_TeamLG_TeamA3",162,4850,3800
"214","1901_03_TeamLG_TeamA3",168,5150,4050
"215","1901_03_TeamLG_TeamA3",171,4750,4050
"216","1901_03_TeamLG_TeamA3",176,4750,4400
"217","1901_03_TeamLG_TeamA3",179,NA,1300
"218","1901_03_TeamLG_TeamA3",182,NA,4050
"219","1901_03_TeamLG_TeamA3",205,NA,5000
"220","1901_03_TeamLG_TeamA3",212,NA,NA
"221","1901_03_TeamLG_TeamA3",214,NA,NA
"222","1901_03_TeamLG_TeamA3",235,NA,4400
"223","1901_03_TeamLG_TeamA3",237,5850,7250
"224","1901_03_TeamLG_TeamA3",256,NA,3950
"225","1901_03_TeamLG_TeamA3",259,NA,NA
"226","1901_04_TeamLI_TeamA3",20,5999,8499
"227","1901_04_TeamLI_TeamA3",51,NA,6000
