"","game_str","play_id","pos_throw","ball_in","ball_out","time_transfer"
"1","1900_01_TeamKJ_TeamB",42,6,1363362,1364419,1057
"2","1900_01_TeamKJ_TeamB",50,6,1713052,1714042,990
"3","1900_01_TeamKJ_TeamB",55,4,1824378,1825467,1089
"4","1900_01_TeamKJ_TeamB",57,4,1876724,1878308,1584
"5","1900_01_TeamKJ_TeamB",66,5,2320808,2321633,825
"6","1900_01_TeamKJ_TeamB",80,6,2822221,2823080,859
"7","1900_01_TeamKJ_TeamB",86,5,2940809,2942360,1551
"8","1900_01_TeamKJ_TeamB",97,5,3265183,3266536,1353
"9","1900_01_TeamKJ_TeamB",124,4,4133317,4134241,924
"10","1900_01_TeamKJ_TeamB",183,5,6091906,6093490,1584
"11","1900_01_TeamKJ_TeamB",239,6,7890487,7891642,1155
"12","1900_01_TeamKJ_TeamB",242,6,8173077,8174133,1056
"13","1900_01_TeamKJ_TeamB",251,5,8414740,8416027,1287
"14","1900_01_TeamKJ_TeamB",253,5,8576894,8577983,1089
"15","1900_02_TeamKJ_TeamB",71,5,2311822,2312350,528
"16","1900_02_TeamKJ_TeamB",276,4,10540194,10541943,1749
"17","1900_03_TeamKJ_TeamB",40,5,1404876,1406295,1419
"18","1900_03_TeamKJ_TeamB",111,6,4617131,4618418,1287
"19","1900_03_TeamKJ_TeamB",138,5,5664845,5666331,1486
"20","1900_03_TeamKJ_TeamB",142,5,5950439,5951396,957
"21","1900_03_TeamKJ_TeamB",145,5,6065626,6067574,1948
"22","1900_03_TeamKJ_TeamB",147,4,6259894,6261017,1123
"23","1900_03_TeamKJ_TeamB",165,6,6823424,6824150,726
"24","1900_04_TeamKK_TeamB",15,4,430661,431783,1122
"25","1900_04_TeamKK_TeamB",68,6,2169502,2171120,1618
"26","1900_04_TeamKK_TeamB",70,5,2242180,2243401,1221
"27","1900_04_TeamKK_TeamB",128,6,4459331,4459992,661
"28","1900_04_TeamKK_TeamB",195,6,6770416,6771109,693
"29","1900_04_TeamKK_TeamB",206,5,7119082,7120600,1518
"30","1900_04_TeamKK_TeamB",220,6,7654425,7655019,594
"31","1900_04_TeamKK_TeamB",221,4,7688387,7689641,1254
"32","1900_05_TeamKK_TeamB",61,4,2466233,2467091,858
"33","1900_05_TeamKK_TeamB",117,4,4391058,4392082,1024
"34","1900_05_TeamKK_TeamB",160,4,6055374,6055968,594
"35","1900_05_TeamKK_TeamB",210,5,8064263,8064758,495
"36","1900_06_TeamKL_TeamB",6,6,107611,109063,1452
"37","1900_06_TeamKL_TeamB",59,4,1512572,1513398,826
"38","1900_06_TeamKL_TeamB",60,6,1662647,1663802,1155
"39","1900_06_TeamKL_TeamB",79,4,2419025,2420543,1518
"40","1900_06_TeamKL_TeamB",111,6,3500471,3501197,726
"41","1900_06_TeamKL_TeamB",135,4,4593699,4594260,561
"42","1900_06_TeamKL_TeamB",144,4,4850643,4852458,1815
"43","1900_06_TeamKL_TeamB",146,6,5011015,5012434,1419
"44","1900_06_TeamKL_TeamB",150,6,5097059,5098148,1089
"45","1900_06_TeamKL_TeamB",152,6,5143926,5145115,1189
"46","1900_06_TeamKL_TeamB",158,6,5408000,5409419,1419
"47","1900_06_TeamKL_TeamB",164,4,5578109,5578604,495
"48","1900_07_TeamKL_TeamB",8,6,155650,156937,1287
"49","1900_07_TeamKL_TeamB",11,6,208953,209976,1023
"50","1900_07_TeamKL_TeamB",15,6,403584,404673,1089
"51","1900_07_TeamKL_TeamB",21,4,515141,516527,1386
"52","1900_07_TeamKL_TeamB",83,6,2366992,2367850,858
"53","1900_07_TeamKL_TeamB",99,6,2980227,2981283,1056
"54","1900_07_TeamKL_TeamB",101,4,3026698,3028184,1486
"55","1900_07_TeamKL_TeamB",131,4,4142370,4143294,924
"56","1900_07_TeamKL_TeamB",134,5,4316406,4317330,924
"57","1900_07_TeamKL_TeamB",156,5,5192592,5193912,1320
"58","1900_07_TeamKL_TeamB",164,6,5454916,5456401,1485
"59","1900_07_TeamKL_TeamB",185,6,6462034,6462892,858
"60","1900_07_TeamKL_TeamB",187,4,6509231,6510287,1056
"61","1900_08_TeamKL_TeamB",4,4,95364,96057,693
"62","1900_08_TeamKL_TeamB",14,4,427033,428155,1122
"63","1900_08_TeamKL_TeamB",52,5,1753970,1755026,1056
"64","1900_08_TeamKL_TeamB",58,4,2117257,2118644,1387
"65","1900_08_TeamKL_TeamB",82,6,3107708,3108995,1287
"66","1900_08_TeamKL_TeamB",115,5,4209749,4210673,924
"67","1900_08_TeamKL_TeamB",130,5,4722912,4723968,1056
"68","1900_08_TeamKL_TeamB",134,5,4821696,4823248,1552
"69","1900_08_TeamKL_TeamB",174,6,6481226,6482051,825
"70","1900_08_TeamKL_TeamB",179,5,6583608,6585126,1518
"71","1900_08_TeamKL_TeamB",186,5,6935640,6936168,528
"72","1900_08_TeamKL_TeamB",207,6,7788492,7789713,1221
"73","1900_08_TeamKL_TeamB",220,6,8256571,8257990,1419
"74","1900_08_TeamKL_TeamB",228,5,8633060,8635304,2244
"75","1900_08_TeamKL_TeamB",242,4,9162660,9164145,1485
"76","1900_08_TeamKL_TeamB",257,6,9783849,9784938,1089
"77","1900_09_TeamKK_TeamB",11,6,371437,372955,1518
"78","1900_09_TeamKK_TeamB",35,6,1156925,1158378,1453
