"player_position","depth","angle","field_x","field_y","batter","launch_speed_av","launch_angle_av","gb_pull","fb_pull","handedness","name","home_first","babip","method"
3,112,63,50,100,405395,90,13.7,0.807,0.516,"R","Pujols, Albert",5.06,0.27,"Current Rules"
4,180,87,10,180,405395,90,13.7,0.807,0.516,"R","Pujols, Albert",5.06,0.27,"Current Rules"
5,142,-51,-90,110,405395,90,13.7,0.807,0.516,"R","Pujols, Albert",5.06,0.27,"Current Rules"
6,168,-73,-50,160,405395,90,13.7,0.807,0.516,"R","Pujols, Albert",5.06,0.27,"Current Rules"
7,289,-62,-135,255,405395,90,13.7,0.807,0.516,"R","Pujols, Albert",5.06,0.27,"Current Rules"
8,331,-85,-30,330,405395,90,13.7,0.807,0.516,"R","Pujols, Albert",5.06,0.27,"Current Rules"
9,282,70,95,265,405395,90,13.7,0.807,0.516,"R","Pujols, Albert",5.06,0.27,"Current Rules"
3,128,51,80,100,408234,91.4,9.4,0.707,0.329,"R","Cabrera, Miguel",5.07,0.287,"Current Rules"
4,184,77,40,180,408234,91.4,9.4,0.707,0.329,"R","Cabrera, Miguel",5.07,0.287,"Current Rules"
5,144,-56,-80,120,408234,91.4,9.4,0.707,0.329,"R","Cabrera, Miguel",5.07,0.287,"Current Rules"
6,175,-77,-40,170,408234,91.4,9.4,0.707,0.329,"R","Cabrera, Miguel",5.07,0.287,"Current Rules"
7,310,-72,-95,295,408234,91.4,9.4,0.707,0.329,"R","Cabrera, Miguel",5.07,0.287,"Current Rules"
8,331,85,30,330,408234,91.4,9.4,0.707,0.329,"R","Cabrera, Miguel",5.07,0.287,"Current Rules"
9,276,58,145,235,408234,91.4,9.4,0.707,0.329,"R","Cabrera, Miguel",5.07,0.287,"Current Rules"
3,112,63,50,100,435559,84.6,17.2,0.812,0.591,"R","Suzuki, Kurt",5,0.241,"Current Rules"
4,170,87,10,170,435559,84.6,17.2,0.812,0.591,"R","Suzuki, Kurt",5,0.241,"Current Rules"
5,142,-51,-90,110,435559,84.6,17.2,0.812,0.591,"R","Suzuki, Kurt",5,0.241,"Current Rules"
6,168,-73,-50,160,435559,84.6,17.2,0.812,0.591,"R","Suzuki, Kurt",5,0.241,"Current Rules"
7,298,-59,-155,255,435559,84.6,17.2,0.812,0.591,"R","Suzuki, Kurt",5,0.241,"Current Rules"
8,345,-80,-60,340,435559,84.6,17.2,0.812,0.591,"R","Suzuki, Kurt",5,0.241,"Current Rules"
9,314,76,75,305,435559,84.6,17.2,0.812,0.591,"R","Suzuki, Kurt",5,0.241,"Current Rules"
3,128,51,80,100,443558,91.8,10.2,0.677,0.427,"R","Cruz, Nelson",4.81,0.304,"Current Rules"
4,175,77,40,170,443558,91.8,10.2,0.677,0.427,"R","Cruz, Nelson",4.81,0.304,"Current Rules"
5,144,-56,-80,120,443558,91.8,10.2,0.677,0.427,"R","Cruz, Nelson",4.81,0.304,"Current Rules"
6,165,-76,-40,160,443558,91.8,10.2,0.677,0.427,"R","Cruz, Nelson",4.81,0.304,"Current Rules"
7,284,-64,-125,255,443558,91.8,10.2,0.677,0.427,"R","Cruz, Nelson",4.81,0.304,"Current Rules"
8,330,90,0,330,443558,91.8,10.2,0.677,0.427,"R","Cruz, Nelson",4.81,0.304,"Current Rules"
9,275,63,125,245,443558,91.8,10.2,0.677,0.427,"R","Cruz, Nelson",4.81,0.304,"Current Rules"
3,128,51,80,100,444482,90,8.9,0.719,0.419,"L","Peralta, David",4.46,0.313,"Current Rules"
4,162,68,60,150,444482,90,8.9,0.719,0.419,"L","Peralta, David",4.46,0.313,"Current Rules"
5,139,-69,-50,130,444482,90,8.9,0.719,0.419,"L","Peralta, David",4.46,0.313,"Current Rules"
6,160,90,0,160,444482,90,8.9,0.719,0.419,"L","Peralta, David",4.46,0.313,"Current Rules"
7,271,-60,-135,235,444482,90,8.9,0.719,0.419,"L","Peralta, David",4.46,0.313,"Current Rules"
8,321,-86,-20,320,444482,90,8.9,0.719,0.419,"L","Peralta, David",4.46,0.313,"Current Rules"
9,280,66,115,255,444482,90,8.9,0.719,0.419,"L","Peralta, David",4.46,0.313,"Current Rules"
3,128,51,80,100,444876,80.8,11.3,0.688,0.405,"R","Escobar, Alcides",4.38,0.329,"Current Rules"
4,143,78,30,140,444876,80.8,11.3,0.688,0.405,"R","Escobar, Alcides",4.38,0.329,"Current Rules"
5,122,-55,-70,100,444876,80.8,11.3,0.688,0.405,"R","Escobar, Alcides",4.38,0.329,"Current Rules"
6,136,-73,-40,130,444876,80.8,11.3,0.688,0.405,"R","Escobar, Alcides",4.38,0.329,"Current Rules"
7,324,-65,-135,295,444876,80.8,11.3,0.688,0.405,"R","Escobar, Alcides",4.38,0.329,"Current Rules"
8,331,87,20,330,444876,80.8,11.3,0.688,0.405,"R","Escobar, Alcides",4.38,0.329,"Current Rules"
9,293,60,145,255,444876,80.8,11.3,0.688,0.405,"R","Escobar, Alcides",4.38,0.329,"Current Rules"
3,122,55,70,100,446334,92.4,14.5,0.743,0.429,"R","Longoria, Evan",4.71,0.304,"Current Rules"
4,161,83,20,160,446334,92.4,14.5,0.743,0.429,"R","Longoria, Evan",4.71,0.304,"Current Rules"
5,142,-51,-90,110,446334,92.4,14.5,0.743,0.429,"R","Longoria, Evan",4.71,0.304,"Current Rules"
6,158,-72,-50,150,446334,92.4,14.5,0.743,0.429,"R","Longoria, Evan",4.71,0.304,"Current Rules"
7,284,-64,-125,255,446334,92.4,14.5,0.743,0.429,"R","Longoria, Evan",4.71,0.304,"Current Rules"
8,330,90,0,330,446334,92.4,14.5,0.743,0.429,"R","Longoria, Evan",4.71,0.304,"Current Rules"
9,275,63,125,245,446334,92.4,14.5,0.743,0.429,"R","Longoria, Evan",4.71,0.304,"Current Rules"
3,128,51,80,100,453568,86.6,11.3,0.76,0.48,"L","Blackmon, Charlie",4.36,0.279,"Current Rules"
4,157,63,70,140,453568,86.6,11.3,0.76,0.48,"L","Blackmon, Charlie",4.36,0.279,"Current Rules"
5,136,-73,-40,130,453568,86.6,11.3,0.76,0.48,"L","Blackmon, Charlie",4.36,0.279,"Current Rules"
6,150,86,10,150,453568,86.6,11.3,0.76,0.48,"L","Blackmon, Charlie",4.36,0.279,"Current Rules"
7,276,-68,-105,255,453568,86.6,11.3,0.76,0.48,"L","Blackmon, Charlie",4.36,0.279,"Current Rules"
8,311,86,20,310,453568,86.6,11.3,0.76,0.48,"L","Blackmon, Charlie",4.36,0.279,"Current Rules"
9,271,60,135,235,453568,86.6,11.3,0.76,0.48,"L","Blackmon, Charlie",4.36,0.279,"Current Rules"
3,117,59,60,100,455139,85.2,18.5,0.753,0.582,"R","Chirinos, Robinson",5.2,0.233,"Current Rules"
4,192,81,30,190,455139,85.2,18.5,0.753,0.582,"R","Chirinos, Robinson",5.2,0.233,"Current Rules"
5,156,-50,-100,120,455139,85.2,18.5,0.753,0.582,"R","Chirinos, Robinson",5.2,0.233,"Current Rules"
6,168,-73,-50,160,455139,85.2,18.5,0.753,0.582,"R","Chirinos, Robinson",5.2,0.233,"Current Rules"
7,290,-58,-155,245,455139,85.2,18.5,0.753,0.582,"R","Chirinos, Robinson",5.2,0.233,"Current Rules"
8,345,-80,-60,340,455139,85.2,18.5,0.753,0.582,"R","Chirinos, Robinson",5.2,0.233,"Current Rules"
9,324,77,75,315,455139,85.2,18.5,0.753,0.582,"R","Chirinos, Robinson",5.2,0.233,"Current Rules"
3,128,51,80,100,456715,88.2,5.6,0.688,0.409,"R","Cain, Lorenzo",4.4,0.34,"Current Rules"
4,141,82,20,140,456715,88.2,5.6,0.688,0.409,"R","Cain, Lorenzo",4.4,0.34,"Current Rules"
5,128,-51,-80,100,456715,88.2,5.6,0.688,0.409,"R","Cain, Lorenzo",4.4,0.34,"Current Rules"
6,139,-69,-50,130,456715,88.2,5.6,0.688,0.409,"R","Cain, Lorenzo",4.4,0.34,"Current Rules"
7,302,-66,-125,275,456715,88.2,5.6,0.688,0.409,"R","Cain, Lorenzo",4.4,0.34,"Current Rules"
8,321,86,20,320,456715,88.2,5.6,0.688,0.409,"R","Cain, Lorenzo",4.4,0.34,"Current Rules"
9,271,60,135,235,456715,88.2,5.6,0.688,0.409,"R","Cain, Lorenzo",4.4,0.34,"Current Rules"
3,112,63,50,100,457705,88.9,13.9,0.799,0.524,"R","McCutchen, Andrew",4.38,0.321,"Current Rules"
4,150,86,10,150,457705,88.9,13.9,0.799,0.524,"R","McCutchen, Andrew",4.38,0.321,"Current Rules"
5,128,-51,-80,100,457705,88.9,13.9,0.799,0.524,"R","McCutchen, Andrew",4.38,0.321,"Current Rules"
6,139,-69,-50,130,457705,88.9,13.9,0.799,0.524,"R","McCutchen, Andrew",4.38,0.321,"Current Rules"
7,285,-59,-145,245,457705,88.9,13.9,0.799,0.524,"R","McCutchen, Andrew",4.38,0.321,"Current Rules"
8,332,-83,-40,330,457705,88.9,13.9,0.799,0.524,"R","McCutchen, Andrew",4.38,0.321,"Current Rules"
9,288,73,85,275,457705,88.9,13.9,0.799,0.524,"R","McCutchen, Andrew",4.38,0.321,"Current Rules"
3,128,51,80,100,457759,90.2,18.8,0.735,0.431,"R","Turner, Justin",4.88,0.285,"Current Rules"
4,175,77,40,170,457759,90.2,18.8,0.735,0.431,"R","Turner, Justin",4.88,0.285,"Current Rules"
5,144,-56,-80,120,457759,90.2,18.8,0.735,0.431,"R","Turner, Justin",4.88,0.285,"Current Rules"
6,165,-76,-40,160,457759,90.2,18.8,0.735,0.431,"R","Turner, Justin",4.88,0.285,"Current Rules"
7,297,-63,-135,265,457759,90.2,18.8,0.735,0.431,"R","Turner, Justin",4.88,0.285,"Current Rules"
8,340,90,0,340,457759,90.2,18.8,0.735,0.431,"R","Turner, Justin",4.88,0.285,"Current Rules"
9,289,62,135,255,457759,90.2,18.8,0.735,0.431,"R","Turner, Justin",4.88,0.285,"Current Rules"
3,127,45,90,90,458015,90.9,16.9,0.827,0.486,"L","Votto, Joey",4.79,0.264,"Current Rules"
4,186,54,110,150,458015,90.9,16.9,0.827,0.486,"L","Votto, Joey",4.79,0.264,"Current Rules"
5,153,-79,-30,150,458015,90.9,16.9,0.827,0.486,"L","Votto, Joey",4.79,0.264,"Current Rules"
6,184,77,40,180,458015,90.9,16.9,0.827,0.486,"L","Votto, Joey",4.79,0.264,"Current Rules"
7,293,-65,-125,265,458015,90.9,16.9,0.827,0.486,"L","Votto, Joey",4.79,0.264,"Current Rules"
8,340,90,0,340,458015,90.9,16.9,0.827,0.486,"L","Votto, Joey",4.79,0.264,"Current Rules"
9,280,61,135,245,458015,90.9,16.9,0.827,0.486,"L","Votto, Joey",4.79,0.264,"Current Rules"
3,128,51,80,100,462101,87.5,9.6,0.664,0.46,"R","Andrus, Elvis",4.64,0.308,"Current Rules"
4,165,76,40,160,462101,87.5,9.6,0.664,0.46,"R","Andrus, Elvis",4.64,0.308,"Current Rules"
5,139,-60,-70,120,462101,87.5,9.6,0.664,0.46,"R","Andrus, Elvis",4.64,0.308,"Current Rules"
6,153,-79,-30,150,462101,87.5,9.6,0.664,0.46,"R","Andrus, Elvis",4.64,0.308,"Current Rules"
7,297,-63,-135,265,462101,87.5,9.6,0.664,0.46,"R","Andrus, Elvis",4.64,0.308,"Current Rules"
8,340,90,0,340,462101,87.5,9.6,0.664,0.46,"R","Andrus, Elvis",4.64,0.308,"Current Rules"
9,293,65,125,265,462101,87.5,9.6,0.664,0.46,"R","Andrus, Elvis",4.64,0.308,"Current Rules"
3,112,63,50,100,474832,88.1,20.6,0.827,0.541,"L","Belt, Brandon",4.8,0.224,"Current Rules"
4,186,54,110,150,474832,88.1,20.6,0.827,0.541,"L","Belt, Brandon",4.8,0.224,"Current Rules"
5,153,-79,-30,150,474832,88.1,20.6,0.827,0.541,"L","Belt, Brandon",4.8,0.224,"Current Rules"
6,175,77,40,170,474832,88.1,20.6,0.827,0.541,"L","Belt, Brandon",4.8,0.224,"Current Rules"
7,300,-72,-95,285,474832,88.1,20.6,0.827,0.541,"L","Belt, Brandon",4.8,0.224,"Current Rules"
8,321,85,30,320,474832,88.1,20.6,0.827,0.541,"L","Belt, Brandon",4.8,0.224,"Current Rules"
9,276,58,145,235,474832,88.1,20.6,0.827,0.541,"L","Belt, Brandon",4.8,0.224,"Current Rules"
3,128,51,80,100,488726,89.4,9.6,0.748,0.446,"L","Brantley, Michael",4.72,0.288,"Current Rules"
4,179,63,80,160,488726,89.4,9.6,0.748,0.446,"L","Brantley, Michael",4.72,0.288,"Current Rules"
5,143,-78,-30,140,488726,89.4,9.6,0.748,0.446,"L","Brantley, Michael",4.72,0.288,"Current Rules"
6,181,84,20,180,488726,89.4,9.6,0.748,0.446,"L","Brantley, Michael",4.72,0.288,"Current Rules"
7,275,-63,-125,245,488726,89.4,9.6,0.748,0.446,"L","Brantley, Michael",4.72,0.288,"Current Rules"
8,320,90,0,320,488726,89.4,9.6,0.748,0.446,"L","Brantley, Michael",4.72,0.288,"Current Rules"
9,275,63,125,245,488726,89.4,9.6,0.748,0.446,"L","Brantley, Michael",4.72,0.288,"Current Rules"
3,128,51,80,100,493329,89.1,13.8,0.679,0.466,"R","Gurriel, Yuli",4.41,0.322,"Current Rules"
4,150,86,10,150,493329,89.1,13.8,0.679,0.466,"R","Gurriel, Yuli",4.41,0.322,"Current Rules"
5,128,-51,-80,100,493329,89.1,13.8,0.679,0.466,"R","Gurriel, Yuli",4.41,0.322,"Current Rules"
6,139,-69,-50,130,493329,89.1,13.8,0.679,0.466,"R","Gurriel, Yuli",4.41,0.322,"Current Rules"
7,297,-63,-135,265,493329,89.1,13.8,0.679,0.466,"R","Gurriel, Yuli",4.41,0.322,"Current Rules"
8,340,90,0,340,493329,89.1,13.8,0.679,0.466,"R","Gurriel, Yuli",4.41,0.322,"Current Rules"
9,280,66,115,255,493329,89.1,13.8,0.679,0.466,"R","Gurriel, Yuli",4.41,0.322,"Current Rules"
3,128,51,80,100,500743,86.4,10.8,0.631,0.459,"R","Rojas, Miguel",4.62,0.295,"Current Rules"
4,165,76,40,160,500743,86.4,10.8,0.631,0.459,"R","Rojas, Miguel",4.62,0.295,"Current Rules"
5,139,-60,-70,120,500743,86.4,10.8,0.631,0.459,"R","Rojas, Miguel",4.62,0.295,"Current Rules"
6,153,-79,-30,150,500743,86.4,10.8,0.631,0.459,"R","Rojas, Miguel",4.62,0.295,"Current Rules"
7,302,-61,-145,265,500743,86.4,10.8,0.631,0.459,"R","Rojas, Miguel",4.62,0.295,"Current Rules"
8,340,90,0,340,500743,86.4,10.8,0.631,0.459,"R","Rojas, Miguel",4.62,0.295,"Current Rules"
9,293,65,125,265,500743,86.4,10.8,0.631,0.459,"R","Rojas, Miguel",4.62,0.295,"Current Rules"
3,128,51,80,100,501571,88.1,9.9,0.645,0.452,"R","Lagares, Juan",4.49,0.323,"Current Rules"
4,153,79,30,150,501571,88.1,9.9,0.645,0.452,"R","Lagares, Juan",4.49,0.323,"Current Rules"
5,136,-54,-80,110,501571,88.1,9.9,0.645,0.452,"R","Lagares, Juan",4.49,0.323,"Current Rules"
6,146,-74,-40,140,501571,88.1,9.9,0.645,0.452,"R","Lagares, Juan",4.49,0.323,"Current Rules"
7,297,-63,-135,265,501571,88.1,9.9,0.645,0.452,"R","Lagares, Juan",4.49,0.323,"Current Rules"
8,330,90,0,330,501571,88.1,9.9,0.645,0.452,"R","Lagares, Juan",4.49,0.323,"Current Rules"
9,284,64,125,255,501571,88.1,9.9,0.645,0.452,"R","Lagares, Juan",4.49,0.323,"Current Rules"
3,128,51,80,100,502054,91.6,7.7,0.697,0.371,"R","Pham, Tommy",4.53,0.327,"Current Rules"
4,165,76,40,160,502054,91.6,7.7,0.697,0.371,"R","Pham, Tommy",4.53,0.327,"Current Rules"
5,136,-54,-80,110,502054,91.6,7.7,0.697,0.371,"R","Pham, Tommy",4.53,0.327,"Current Rules"
6,143,-78,-30,140,502054,91.6,7.7,0.697,0.371,"R","Pham, Tommy",4.53,0.327,"Current Rules"
